"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","18pF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10C180JB8NNNC_C1647.pdf"
"C3,C4,C5,C6,C7,C8,C9,C10,C11,C13,C14,C20","12","100nF","","","","PCM_JLCPCB:C_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21B104KCFNNNE_C28233.pdf"
"C12,C15,C16,C21","4","1uF","","","","PCM_JLCPCB:C_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21B105KBFNNNE_C28323.pdf"
"D1,D2","2","Red","","","","PCM_JLCPCB:D_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_1810231112_Hubei-KENTO-Elec-KT-0603R_C2286.pdf"
"DNP_J1","1","Conn_01x04_Pin","DNP","Excluded from BOM","","","~"
"R1,R6","2","2.2kΩ","","","","PCM_JLCPCB:R_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F2201T5E_C17520.pdf"
"R2","1","220kΩ","","","","PCM_JLCPCB:R_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F2203T5E_C17556.pdf"
"R3,R4","2","5.1kΩ","","","","PCM_JLCPCB:R_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010030_UNI-ROYAL-Uniroyal-Elec-0805W8F5101T5E_C27834.pdf"
"R5,R10","2","4.7kΩ","","","","PCM_JLCPCB:R_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F4701T5E_C17673.pdf"
"R7,R8,R9","3","0Ω","","","","PCM_JLCPCB:R_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010216_UNI-ROYAL-Uniroyal-Elec-0805W8F0000T5E_C17477.pdf"
"S1_RST?","1","Tactile Button, 160gf","","","","PCM_JLCPCB:SW_TS-1088-AR02016","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_XUNPU-TS-1088-AR02016_C720477.pdf"
"TP1","1","+3v3","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP2","1","+1v1","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP3","1","+2v5","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP4","1","CS","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP5","1","eth_+3v3","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP6","1","GND","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP7","1","MISO","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP8","1","MOSI","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP9","1","SCLK","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"U1","1","~","","","","f1c100s:QFN-88_L10.0-W10.0-P0.40-BL-EP6.75","https://item.szlcsc.com/datasheet/F1C100S/1684425.html"
"U2","1","XT25F64FSSIGU","","","","allwinners:FLASH-8pin","https://item.szlcsc.com/datasheet/XT25F64FSSIGU/5787865.html"
"U3","1","WIZ850io","","","","","https://docs.wiznet.io/pdf-viewer?file=%2Fassets%2Ffiles%2FW5500_ds_v110e-226ffec190c588b69f88d629789585e1.pdf"
"U4,U5","2","AMS1117","","","","PCM_JLCPCB:SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121508_Advanced-Monolithic-Systems-AMS1117-3-3_C6186.pdf"
"U6","1","TLV71311PDBVR","","","","allwinners:TI-LDO-1v1","https://www.ti.com/cn/lit/gpn/tlv713p"
"U7","1","TLV70225DBVR","","","","allwinners:TI-LDO-2v5","https://www.ti.com/cn/lit/gpn/tlv702"
"USB1","1","~","","","","allwinners:USB-SMD_USB-TYPE-C-020","https://item.szlcsc.com/datasheet/USB-TYPE-C-020/3252509.html"
"X1","1","X322524MOB4SI","","","","PCM_JLCPCB:OSC-SMD_4P-L3.2-W2.5-BL","https://www.lcsc.com/datasheet/C70590.pdf"
