Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C2, C22",C_0603,4,18pF,C1647
"C10, C11, C13, C14, C17, C20, C23, C3, C4, C5, C6, C7, C8, C9",C_0805,14,100nF,C28233
"C12, C15, C16, C18, C21",C_0805,5,1uF,C28323
"D1, D2",D_0603,2,Red,C2286
"R1, R6",R_0805,2,2.2kΩ,C17520
"R10, R7, R8, R9",R_0805,4,0Ω,C17477
"R11, R13, R2",R_0805,3,10kΩ,C17414
"R12, R5",R_0805,2,1kΩ,C17513
"R14, R15",R_0805,2,100Ω,C17408
"R3, R4",R_0805,2,5.1kΩ,C27834
S1_RST1,SW_TS-1088-AR02016,1,"Tactile Button, 160gf",C720477
TP1,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,+3v3,
TP10,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,PD3,
TP11,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,PD4,
TP12,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,LRADC0,
TP13,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,PD5,
TP14,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,PD6,
TP2,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,+1v1,
TP3,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,+2v5,
TP4,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,CS,
TP5,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,eth_+3v3,
TP6,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,GND,
U1,QFN-88_L10.0-W10.0-P0.40-BL-EP6.75_f1c200s,1,f1c200s,C2879851
U2,FLASH-8pin,1,~,
"U4, U5",SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,2,AMS1117,C6186
U6,TI-LDO-1v1,1,TLV71311PDBVR,C205964
U7,TI-LDO-2v5,1,TLV70225DBVR,C2877849
USB1,USB-SMD_USB-TYPE-C-020,1,USB-TYPE-C-020,
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,X322524MOB4SI,C70590
