Designator,Mid X,Mid Y,Rotation,Layer
C1,161.55,-98.2,270.0,top
C10,117.49,-85.146,270.0,top
C11,151.45,-102.4,0.0,top
C12,151.45,-104.6,0.0,top
C13,160.55,-88.2,180.0,top
C14,145.5,-99.7,0.0,top
C15,145.55,-102.2,0.0,top
C16,160.55,-86.2,180.0,top
C17,143.95,-130.33,180.0,top
C18,143.95,-127.78,180.0,top
C19,169.14,-100.7,180.0,top
C2,161.55,-95.4,90.0,top
C20,145.1,-92.65,0.0,top
C21,145.05,-90.2,0.0,top
C22,169.42,-106.7,0.0,top
C23,154.2,-88.1,0.0,top
C3,147.838,-68.546,90.0,top
C4,135.9,-71.848,90.0,top
C5,173.063,-75.40525,90.0,top
C6,180.175,-80.92725,180.0,top
C7,126.986,-85.15,90.0,top
C8,130.796,-87.756,0.0,top
C9,120.03,-81.59,0.0,top
D1,177.55,-112.7,180.0,top
D2,174.5,-85.5,90.0,top
R1,144.05,-106.7,180.0,top
R10,181.191,-83.97525,270.0,top
R11,172.3,-84.01,90.0,top
R12,177.55,-114.7,180.0,top
R13,181.64,-116.9,180.0,top
R14,169.64,-102.7,0.0,top
R15,169.64,-104.7,0.0,top
R2,155.35,-80.61,90.0,top
R3,154.725,-75.84,0.0,top
R4,159.7,-75.85,180.0,top
R5,174.738,-89.048,270.0,top
R6,144.05,-108.7,180.0,top
R7,129.55,-75.7,90.0,top
R8,140.75,-86.3,90.0,top
R9,122.2,-89.328,90.0,top
S1_RST1,150.975,-81.7,0.0,top
U1,153.75,-95.2,0.0,top
U2,165.7,-82.8,180.0,top
U4,142.021,-71.848,180.0,top
U5,178.548,-75.84725,0.0,top
U6,131.0545,-83.946,270.0,top
U7,121.3,-85.4,90.0,top
USB1,157.55,-70.18775,180.0,top
X1,164.55,-96.2,0.0,top
